url,domain_in_brand,brand_in_subdomain,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,status
https://www.rga.com/about/workplace,0,0,1,1,0,3571,11039,legitimate
http://starasia.com.hk,0,0,1,1,0,0,-1,legitimate
https://www.youtube.com/watch?v=XszqITK-UEw,1,0,0,1,0,208,5636,legitimate
http://www.civico1845.com/,0,0,1,0,0,983,1938,legitimate
http://rapidpaws.com/wp-content/we_transfer/index2.php?email=/,0,0,1,0,0,338,1853,phishing
https://mykoreankitchen.com/dak-galbi/,0,0,1,1,0,49,-1,legitimate
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/e5a6cdb508f0848?cmd=_update&dispatch=e5a6cdb508f08484d&locale=_US,0,0,1,1,0,25,3992,phishing
http://quiluc.com.vn,0,0,1,0,1,0,-1,legitimate
http://www.astro.com/astrology/tma_article160706_e.htm,0,0,0,1,0,1308,8554,legitimate
https://huggybearheadcanon.tumblr.com/#_=_,1,0,1,0,0,1048,5160,legitimate
https://h4w.livejournal.com/,0,0,0,1,0,263,7772,legitimate
http://wikobbonline.com/verifying.htm?REDACTED,0,0,1,1,0,364,0,phishing
http://www.webopedia.com/quick_ref/portnumbers.asp,0,0,0,0,0,618,8147,legitimate
http://www.petitcitron.com/,0,0,1,1,0,124,4624,legitimate
http://www.wikiwand.com/fr/United_States_Pacific_Command,0,0,0,1,0,168,2388,legitimate
http://handle.booktobi.com/img/rank,0,0,1,0,0,481,4633,phishing
https://verif-main2d.blogspot.com,1,0,1,0,0,372,7297,phishing
http://www.imeipro.info/att-imei-check.html,0,0,1,0,0,151,1675,phishing
https://www.avd.brfbadssecrsavrdskl.my.id/m.id.help.htm,0,0,1,1,0,364,1,phishing
http://www.ita30horas.net/,0,0,1,0,0,294,70,phishing
http://www.3g4g.co.uk/Hspa/HSPAE_Pres_0811_Andreas.pdf,0,0,1,1,0,954,5985,legitimate
http://mxtoolbox.com/DnsLookup.aspx,0,0,0,0,0,430,5779,legitimate
http://mail.hethartthuiszorg.nl/~u43730p39181/pki-validation,0,0,1,0,0,0,667,phishing
